X,Y,Z,G_x,G_y,G_z,formation
592909.0435305778,7006301.294535559,738.40087890625,-0.5125837827220358,0.4301088630295151,0.7431448254773942,encaixante_serra_alta
592916.2246702445,7006294.760761602,724.05517578125,-0.4631810996179089,0.3618767356010484,0.8090169943749475,encaixante_serra_alta
592894.5524491894,7006298.517765165,738.744140625,-0.3286853418467136,0.4523965620417037,0.8290375725550416,encaixante_serra_alta
592911.4280962297,7006290.82295095,725.10400390625,-0.8754521391572588,0.3716073858690825,0.3090169943749474,encaixante_serra_alta
587994.4218821236,7007504.411666298,388.8,-0.2405966221428668,-0.9649803447637392,0.1045284632676534,sill_diabasio
588391.8279925485,7016121.949658237,891.9,0.6426897100201725,-0.7659277708398713,0.0174524064372836,dique
587231.4923991881,7016891.265440861,725.5,0.0754790873051733,0.8627299156628209,0.5000000000000001,sill_diabasio
592876.6315000001,7006267.4192,741.0,-0.2903698162897467,-0.2614501569293087,0.9205048534524404,sill_diabasio
589245.0,7010127.0,650.0,-0.6644630243886748,0.6644630243886744,0.3420201433256688,dique
587998.0,7007503.0,398.0,-0.9698463103929542,0.171010071662834,0.1736481776669304,dique
587071.0,7016681.0,720.0,-0.9698463103929542,0.171010071662834,0.1736481776669304,dique
