X,Y,Z,formation
593039.7341678255,7006322.936188595,725.4598388671875,sill_diabasio
593045.3584510367,7006321.090862999,724.06103515625,sill_diabasio
593049.3204474766,7006321.224179661,723.4417724609375,sill_diabasio
593049.9707947761,7006321.991435921,721.989990234375,sill_diabasio
593053.0579237518,7006320.773167911,720.995361328125,sill_diabasio
593052.8902054596,7006320.757801471,720.9710693359375,sill_diabasio
593049.7482082295,7006325.12692206,721.1942138671875,sill_diabasio
593043.8312324584,7006328.286007607,723.408447265625,sill_diabasio
593040.7580285002,7006331.772843378,726.157470703125,sill_diabasio
593041.1804094651,7006334.554582079,728.252685546875,sill_diabasio
593043.8345437975,7006338.180414304,728.38720703125,sill_diabasio
593045.4816329008,7006340.816773973,728.952880859375,sill_diabasio
593045.9590864718,7006345.399305176,729.6519775390625,sill_diabasio
593041.8761165052,7006351.7915414,730.4140625,sill_diabasio
593037.5075383119,7006350.598918217,731.744384765625,sill_diabasio
593043.6424815109,7006339.6894944,733.632568359375,sill_diabasio
593103.5536754943,7006284.7803589385,727.5206298828125,sill_diabasio
593103.9355822436,7006284.260191593,727.53564453125,sill_diabasio
593104.2790977759,7006284.84252293,727.301025390625,sill_diabasio
593105.2036191878,7006288.064724283,725.845703125,sill_diabasio
593104.6888725782,7006289.523039652,725.6142578125,sill_diabasio
593107.5457813275,7006291.480181398,726.2061767578125,sill_diabasio
593109.1362698916,7006292.110817703,726.219482421875,sill_diabasio
593107.3508742705,7006293.537620924,725.995849609375,sill_diabasio
593107.2634565292,7006293.784193508,725.17626953125,sill_diabasio
593095.1074559219,7006280.443344146,728.048828125,sill_diabasio
593097.3443735794,7006278.522442494,728.5595703125,sill_diabasio
593080.0672930524,7006283.569656648,719.4437255859375,sill_diabasio
593080.1671059798,7006283.522387074,719.40966796875,sill_diabasio
593079.1821412971,7006282.701131334,719.395263671875,sill_diabasio
592912.6214051828,7006312.315510306,724.78515625,sill_diabasio
592914.4112403707,7006312.015285127,723.4373779296875,sill_diabasio
592916.127644146,7006311.576029522,723.149658203125,sill_diabasio
592916.6327903705,7006309.890705364,722.88134765625,sill_diabasio
592916.7535330586,7006309.190816305,722.775390625,sill_diabasio
592925.1857601679,7006299.260226432,722.841796875,sill_diabasio
592909.0435305778,7006301.294535559,738.40087890625,encaixante_serra_alta
592916.2246702445,7006294.760761602,724.05517578125,encaixante_serra_alta
592894.5524491894,7006298.517765165,738.744140625,encaixante_serra_alta
592911.4280962297,7006290.82295095,725.10400390625,encaixante_serra_alta
592945.5605712407,7006005.304249115,705.011962890625,encaixante_serra_alta
588004.687709383,7007510.495398002,393.2212524414063,encaixante_irati
588000.0931713168,7007515.078332568,404.9791259765625,encaixante_irati
587994.4218821236,7007504.411666298,388.8,sill_diabasio
587312.6264703568,7017020.857568776,728.5,dique
596404.6708551889,7016008.41922128,490.1,encaixante_palermo
594332.0670167011,7016548.888643999,686.0,encaixante_serra_alta
593724.7282756895,7017802.233125995,653.3,encaixante_irati
593419.0756129563,7017924.517998778,625.1,encaixante_serra_alta
587317.2325397808,7016945.869920146,682.7,encaixante_teresina
587995.7158732472,7016224.800825704,816.8,encaixante_teresina
588391.8279925485,7016121.949658237,891.9,dique
588392.05726547,7016107.547651039,885.5,sill_diabasio
587231.4923991881,7016891.265440861,725.5,sill_diabasio
587229.1868204272,7016892.758437812,726.1,sill_diabasio
587229.1868204272,7016892.758437812,726.1,sill_diabasio
587223.2600214632,7016896.861300353,731.4,sill_diabasio
